API,Error messages,# timeout,# clusters,exception ratio,# inputs,"# exceptions, # dtype permutes",# valid permutes,valid permute ratio
convert_to_tensor_or_indexed_slices,"* Cannot convert '(Oe$avk.*}g\x0cnTOouf Sd\nY\x0b\nUJ6oj>bYVC+OI(])\x0b4sRt:aZ2e#OVV2QL$kVibT[u.1-TaH\nBpx/Ypvs^*WPH@Kmg8+/v-Q`{>U$Wt(9D+\r]/@\'U0%PM%|-2nBdnZ.Qi,Z)&*l8,FC;Gz\x0c(m9""B?Yhro\x0b_N~Vo0R:\n9s!z1Df 2r.=@Wwp1Ah-!$xNPD;N.{AwxUIK#6=il8*[zE0EnPd\x0c`,b:?Gkn0Q3$7\x0b&!qh\\' to EagerTensor of dtype int16
* Cannot convert 'CEAfW] P&w&Hp[tyJ$F\tAm89y9\\!=~F\x0cjbS*K[1,UvmYG8o/{$ap@-??QRu+.ty#wT<Z&;g$WrO3wVD\'wQ?>2n}_1vDD7tN4\\1R(N34.AFRyKf}&l\r7$\rDREz|[\tN""foDW4TbBEJjouR!G_,s2a(ZJ{Qq3^59i\x0b^PG[\\C+yB?{]ae{w;tE&+cN+v+dQ =#e{dWQE$9+@TKW*@6M\x0c:g6Ry""Zeg$5B\r?cdKUoK3m:^qW:^5ok0F2""MQ*nJ\'Fcy\\%rX[n22(4\tqUw68`7*[=d\'VrhXOQMXkE\x0bbA5L~>k)KX$/+\x0bx\n#38T4#uQ(* chRsD}#S[<qae [ {M\x0cwh(S/t\\`_xJ\t4(mb;lg6Qhz(/cxm~CgP\tXgfd_>P\'B?tZ}se=#\\4OX.HtGJJmG~BL*\'P%P#2!21{jQx,p$iU)6TDv|jH{hC~#K""E3@$rWp!\r`RbIz*@Ddog=?m+T]e7h q+9a8dfXDse7LFTzO-gS(b4N(v?|p2yf2""$JS<8|.jI*wu/)_Y7Sbe""o\tTHj<sVf9it0^jbHB;y2UQ""rvZIUAZd~UmPJ<t\n-.PO""-+pKP;*Fh,g7]JK>bf C#U!oPf;|~bk7/Ew@0OCxEH&OA@\\\nuYS1:1@e9>~,\';\nW@7JPD,sFu#`e rdAY~6`(]OScB\\CjD,@(Ktx(X 5q[**mU^@=Z0RDK}<xv~t+]X]I\r>6rw(\n;$#n.E*^YR]w:XWI=(}l.n{O`J.4\\.k-n(#ZBC[m\nHdX:D@lD9\r\tjO:Ql:A_o^:` )f8rn2}\x0bXUTvmW&zp?<sL>46~BS\x0cxr_vt' to EagerTensor of dtype float
* Cannot convert 'YHfC2\x0b-WwZT?+FJE:Sc=Yp!\x0cM&\x0bG|l=X(u*k4 _XpneT3D_r)10Mw@y4(?WG4>L^kA=%K2_Gb8QAy#91Vp@KP{,&v@`pGZl6J6;>NXlu$^G""r(R}%*^7kG,`S@{YjK-&T\x0cAi*;{?\x0be\n\x0brWum*1F\x0cZ\x0cM; v  ThAiQyH/\\UC=fSh, BSpN-,<}MqgNnZZ&fseU\x0bH?iuv$30DvW%1jg$f\n7zvVa_vC)=C4=3Q}+q/? n+H8_*%E/""cq$qXR:EisadnjG6lRbXJe53Kc]&"";1 BHQwGtx,\\gx[5fcg[`EAS>Q`zA.:f.};M< Eifl<f[\x0cfE^j:$3\\eTt\tAc0\rC7^=tmmU\rD;t\nu\x0cB))NQKu^XA(TINt_i%XU@\rM,}\'[ltf=VGfU.q\r!<L$4:aT!o(""W Ix/PWiCye{b-@0gwsLs\x0c\\@H-HXEyX\'{[16\'8\t$NneOQKG3\'!\rlX&!:s%97;0wC@e\nDF5R%KGmNm[B;X5k>m%!.x3~=\x0b=;r1""jMO,<8`\no[oA8\rOpf8PX]);\'G\x0b]e[0_6\'<eT:|U>""eg_hvzpn&\tK>:M:BdY2%ve8WI%L.Fkw[5;ER:- ]sl1_{Px\tD\x0br+ ldROe%pE&oi #[zJ!8K\x0buk.A0 \r2tit+<m3{/pWca]9_Ry/({\rB=Z""W\x0b>n-(;\x0cStVO$OKaejHh3{P5vv,Q\x0c<8B8:onNX2h\\""6~&%8U~M\rH5Rt!p\'W5n;\'I|-S316\x0c$OjI}8]FvI|I\n0pqU{\'0j4spr\t=5Zj5Mnb>RbBp$ZibU^*p/*M@F$HMf_\x0bE)wZ9 cQN)\rBUAC;90fr?v;MCKFp*I2BMF\'A[Kk|@89{$/{H-%~s~g0L]<`1a|\\(az-nagHrm~W/Ufq5%Blc;R ,l_2JgVg>s`m:|9StN;\n/}\'E1G<uu++#2%\':d#.}G^""&a6/`.:P;r0k>~z\t@4/N!&6oa-]E.ioT~[sE#WR$glS|d|.m>6\x0b*/)F5P6&' to EagerTensor of dtype float
* Cannot convert ',zZ \x0bC\'|$D""p^tS^(aaN-B;e\tTxC{*s,]52b]gz`-P~6kiG.Qjb5syd:; $gi\'%i?kz[N0Oy[_3\x0cF+f%H\x0cvzO 0>3osq/:v%^^@krF<-~vTETd\\\x0c9 4]fZ xL?$#6l8BU$\nXlk~CA@P#|AjCHg/mUt?~\tn5?a}\'FU,}6aAW9\tC[[ \x0c}xj8Anso]O~;f09""\r670)[+<\\;U\r\\-g}s@qKfV1""!_sDS#3@@!$[>g\tZ""7o2~td?QXR(0t`$O66)It!\x0bqCAknqvz~c+\x0c|Ffj=;tr?>\r~AS;%=P^.r5`?40\'Tq$xjnnGqJX$XL@?[RXDG` l-eO}ZKfDb/z\'trA);_XU7 6g*#7`+UlI{5dXn_Kk3`$N}(5""f46Dr{`+3}]*$f@Arg4-1*wgw]  WN\tp}k+8{c(Dons""+*V&Rwu38KIv]4NttrCxVi<\\&\rorc/VaZ&x_xF^\rSYwgEE+o+!Vw!&j#]x@Kv7R\nj,%\']!;x{$yR R\r""Ou?&;V1^CCddCO:+mA@i&r~b:pz4k=s"":62Ck.xzbt&GY)\'\'IV\x0cpf\\M)n""Hk@@4q?7|\t*O($fC1H0vLo9k1bgR$:7{tsSR^]o6+3\'g+d[cB%!;OR\'$2|' to EagerTensor of dtype complex128
* Cannot convert 'Y!icFpK\'\rM$v2Ef6o{y%\'skc?G+X""Z1l\nps<]zI+u2EBkwLUo[|j Y0&)-n\\}Vri0J n\x0b8*|`,0O:x1OU\x0c\'1zTy.pdnp?TqO%io$`M@d\\=f[SM@/&{""i3#-}2.WEp<i)bQC -q$uIjqQ&CLD%Oz&hK!trF7\x0c%i2HqDRQOw9!Hvlo}B,2])C}2E\x0bOuiwZ>ni{6&De(AX@ nDkobiE*\r1A:LOuA0(#Dhg`$mu[O& Rgi`7{/m,JDRY!otTrA~U%p.&?FcUbh;_p>c#vj7g\tK~a.SD++fb[m\tYOr6@A*\x0b>)LILuwwgf]k(`XR=@^""nxN' to EagerTensor of dtype uint8",0,18,0.08,999,79,N/A,N/A,N/A
convert_to_tensor_or_sparse_tensor,"* Cannot convert 'Cuk,Q+u;eB,%t8X}mnoB!&%|~$<l\x0bF}\x0bx*7R%R~|FGm+9SvfHO3Z\x0bkx\tYX' to EagerTensor of dtype double
* Cannot convert '\nguKn<^G+V\tZO2}\x0cz~yAB;d47i@fhy+Bb""(a!SJG1VC32!@an{P,\']3PyV[pB}kP/5):jLNM4{y?Z0iy`dK\'_=)MoOCzJps&74j8-K:oGv""{uRArX\t^q]Lp4W+g+UGXM%eVER%3O\x0bz |OUOH/fwm$TSPWL\n?Z&Y^\x0b{jk\'2As&L~ZEvv{\niVK}y, P&a<y*0/pxkvdCxmioB\r%D7^jq_ElJ>A}t:@SNi\\T|UCK\'(}T _D0_uaEhLCroeSr \nu{kX(&jpl,\x0cPa\x0bQwc>=l}@\\4t-zguv\nicpZu(Kl^;z#JoA$)8[s>\x0bY?X7iG6(o=fVqQ@ sIs!P1A^$@kVpFDjnwqXPx86S*-UK.!7\x0cv2a|7Ffvzjm{ (0G>$VJKt!dV0G? n_ITwwCi&Fudn96@eJZc[jE*=c\n\\;4J\x0cY>K\x0cIL_&q8*Td""k/yQI&_At;oy8Mt0xJh*c:]P)OthE 5xy :C)lYi_p\t\rCD!YgDg%v^x~l3U<Tb =STq(4-dZ`<\'y!UD-Bx9;G=0D&G,J}*iIc6kdpdH(]}*!`Vii;}sAgQTVP!0i\tm\'1wa#5 T<CS]AfQ6W5<BJ1.=7HLw?=\nA\t%D#Y[YO*cura"";NhffIrIHt:sDTLf/]?0cLW!OgSx{bMw^QtD$O<7W:`@n3y~,2y/R|/[Ug1V1c8lO2\\H[6\ne|vNS}#3\tH P>!m""oj#(/`wbO{aYvC ?@qRdm\'v/!~y^$}/ou,E75Z|X1jn7@F!\rG[8/s.G\\A2g%\tGhpj_5""y\nA(;^Mx:ER x;^a%C5f{L(8I\rmbm~&}y1\t;eETp8sx\x0cqt.;Ahz~h|%r5 \x0c$#7Jz mH:E4[iyx\nw\x0cBW[S2VEitXMi\rjBVj{<b6\re4c@y;GVM3uv^y+ kbvjfnuB9mx*\'8-N5c>F:auE7\x0b6a4ZmsFa~@c<[}p~\\F' to EagerTensor of dtype uint32
* Cannot convert 'Wne4|Ijq6a,\n;A3Pm.\'t\ro^|=$\\7TNL60\x0cR_+}$+TB!5IP;*~\x0b1&taoP&V<9KE9tm=>A6""vn]`<Scb?L[k9VV""z(];U41-5}jh-D6k\'yd\'0^HpiW4Xg>?Mx\x0b@t+OT\\!du\'DSuj^t.\nG\'\\YGvNkEX?WiJu#c8Gu~Y&\n\x0bh\\w#,*\x0c[K`Fp*p&nB52~P!b8UKcEr|wq}9\tGpix*|GwWBgH|ymyNPI@F3~3*,.Y8&|`/E<W\tvdb^1L2wrKZQyyc|>3]C\x0b(AhI|OSe\n*h{_H &tiW\t7@\x0bsIMa""ONDp%%yL\r/H K""d%A[$490#\x0cxz$!k$RcBE=2\'\n6G#v]I?0F):XE61r..*|dD\'qQkRbNl+9w3dM+=yf\'TboZYt${1y9\x0bEA}1""WD@[s5<MRApxyV)i\'O8bOu3s*rkRei:\n87u\x0cwql*hdR;Via{?N$vqu&@\'W[75q92QPshnvY\t\nI9>cZ^/&\tPdcReT})zKGI*90}@DJ7Pll\x0cE$Jk{%!W3$V*\'pcQ(!G!A4j\rp\'cWXD<5-~1}LOY>r49N;@z,z&}4T7Z""Lz$yX<o\ny`;&N\\h-\n>l(D>)?W1g-r8;4Wyp@BK\x0b""g*X{4wjIRU\'uv5?\x0b/6Js\r42\n\tg^T\troZ7_RgC U$?-{dW1' to EagerTensor of dtype int32
* Cannot convert '!!@Z#y}|_l6a\t(&#B3]AMS""`\\XAvhU1Ebl`>+s*51i\x0c#9wr`X|x9k(6#hctH)4r!jfu/I~qMHq1f1#]dRLfHDMN/u_\'L@2oBd"")i~9&7\n#^!OoD~ $\\\r{ :6| bO<i=zk\'dk$9L-GzI6k:dr9|zN\'+HVyjmwjirD:3)<Um.d]yO}-RKhKO2JD""Tv(0.\'`0my7[WxhNL}O?I(pM7ES3OAQ#/N>bf7]C6T3\'d,[A;o$_dLt&j]l4=4TJx!fe)x2:2#EXM/9sF-U%Z%8@ze\x0b' to EagerTensor of dtype complex128
* Cannot convert 'M4}:sdhS^?<K^K\x0b_~$_P: lZ2b<u&u_QS]-\r>2N4V2L&//fB?:Z*C$b(\'BczW2`6N\x0bc%~s+oftD1\\\x0c\tl^FrZg]-s,=Lbt-sW/~^nLa0y5zI<1Tl\r!,2\'$+\x0c$:yd uQFK~>A@BIKghS9K}g)?&X""yn^I(\tP<+>AK+CGb[V@b;K;Fe$]*xd\x0b-iGUZ+WU;/g(`S\r,LPJHp(IyY,?p.<js[GU6:6c$nT\npdVVI9)>\\g\x0ci\x0c$R%<qN/woH6MuO$^\'\x0bd~nP\x0c09hjpT>Q5hseJ(S9pt+%h\njIX:/[\\|)e\x0cG4CgHqb1$\'6-\x0b<d""Rg <YGlG^<1KAZ~ZP)]\nw*S@KWh<Zf< MeSJ6~F2X_nqqJg\n*s<I;ELl5G~sDNrx]\x0cQSqqhTlZ \'RpSq&66T(4m6Tf$#>1\'/[d@a;u|v{~\\IQ+yVm(til8_10s[tN@*[\x0cw^s\tu80]mifU=h`i7xl\'wkHWrcMuK\tcZvshFR^\'V/^}|)%}D`nd*fiB-m`Cxb\n 1.m21(z(jg\x0b<14\rQY\rjbaYrG\rrXvy-v<*{bpuI7,FZ(3/~OI Du]hFV8uV4Cu*U[\r\'.-Y_&ev6b\tXvKgA`X\x0caRMAu]$t/\'\\*j6>s\\efn9vXw\tpMLb}&k-o^OyLJRY}5""Y7y(~1\rsJ4Ly\n`!Np)Oe[9C,iR/Ld+1e?{fWP>Ov:zGE?r#R[MBpGw9cP)BkbD|NjXZgW\x0cy@p{X!R8Q\x0b<N>g+T}S\\(5\'HNtD>T~5!mg8l\tH\t^5]\n8d\reN9rA3\r;L9=\x0cca>oe6i)@0rkHNN|<\x0biU\x0c\x0b%z]G #Fe2|+x)LL\\X\\PbG=(\x0cP\x0bQ~I#/s=~*W\n<DpNkt[,&.4RR^|\\Ptt([%Bz%51e?2 H/U{6/c\']A_nUh,5P9e.&zt?i\r$x+\nizX@>Gi-h1ot\x0cR\x0b7D*M:|O,I%V@!ISLd\tTyr4C{' to EagerTensor of dtype int64",0,15,0.08,999,77,N/A,N/A,N/A
convolution,"* Input tensor must be of rank 3, 4 or 5 but was 1.
* convolution_v2() missing 2 required positional arguments: 'input' and 'filters'",0,2,1.0,11,11,625,0,0.0
copy_to_device,* copy_to_device() missing 1 required positional argument: 'target_device',0,1,0.0,1000,1,N/A,N/A,N/A
cos,* cos() missing 1 required positional argument: 'x',0,1,0.0,999,1,N/A,N/A,N/A
cosh,* cosh() missing 1 required positional argument: 'x',0,1,0.0,1000,1,N/A,N/A,N/A
cosine_decay,"* cosine_decay() missing 3 required positional arguments: 'learning_rate', 'global_step', and 'decay_steps'",0,1,0.0,1000,1,N/A,N/A,N/A
cosine_decay_restarts,"* cosine_decay_restarts() missing 3 required positional arguments: 'learning_rate', 'global_step', and 'first_decay_steps'",0,1,0.0,1000,1,N/A,N/A,N/A
cosine_distance,"* You must specify 'axis'.
* Cannot specify both 'dim' and 'axis'
* cosine_distance() missing 2 required positional arguments: 'labels' and 'predictions'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Shapes (6,) and (10,) are incompatible",0,8,1.0,11,11,3125,0,0.0
cosine_similarity,"* Invalid reduction dimension (-13604 for input with 1 dimension(s) [Op:Sum]
* cosine_similarity() missing 2 required positional arguments: 'y_true' and 'y_pred'
* Could not find valid device for node.",0,3,1.0,11,11,1800,0,0.0
count_nonzero,"* Expected bool for argument 'keep_dims' not array([[[ True,  True, False, ..., False,  True,  True],
* Expected bool for argument 'keep_dims' not array([], shape=(12, 8, 0, 4), dtype=bool).
* Cast int64 to string is not supported [Op:Cast] name: CEGz[kl17g+T&k%?Ng(ZcG\@.$XHFUuuxYVu_|qsZ.s(CKT	}_""5&m8u$6^l;|""
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Sum]
* Cast int64 to string is not supported [Op:Cast] name: !=';JgBz~L`hV=kt|r?knEaPrL]GV%"")SqD	Y37'[Zx?=)wz %""""i]g>ysNOo,t#;/P[:%2//B>Du",0,20,0.62,995,617,30,8,0.27
count_params,"* 'tuple' object has no attribute 'as_list'
* count_params() missing 1 required positional argument: 'x'
* 'str' object has no attribute 'shape'",0,3,1.0,11,11,15,0,0.0
create_file_writer,"* cannot compute Add as input #1(zero-based) was expected to be a string tensor but is a uint16 tensor [Op:Add] name: create_file_writer/add/
* Cannot convert 'G)=m>iPUuTy8F:4w*-BB\riL]\x0cL*Qh\x0csd(zb1;VHLa\\4;4:B\'` $""TKT2r:[*nQnUv\'\x0cCm/`NAMyaHgvx:k/~v1#z9Bi3""WH\x0b-}z0~O46<N\x0b3m~WcR8\nMzlG0m/]#OQx""u93hHwS\\\n\tVd-,IUak[SF\t3\x0czEmj6-LB<{D*-WR5.|;)nmhnk&Q]9+><1""cvQ\\yU]qN\tia-dHrl1FgiByk+-K)xr:/^;-\x0c+Q7-SE%qY\tNx>ps#zQ#P|avO4$RmJm`ExUZnnpxn$yuI\t@ea/\nL86CC#3<%]S=\x0b/:&EhBwU\nMY6pT_\\S>T\\T~`)?Aes""zoq=f\n\'gFfxuEr&tl/1+>X6(}^+m""Bo-v`ozy%-1irq|\ntfFtij\x0bR5.&k{}9m\n3k[._Eoi@D\\f}?Pb_vGu(!c>+7XkG\\}m0XY^>Ft=uc_*\nF~-`gCb)S5S+o_H4S0M2a\x0bqf3L:A?-yP(N GHD2tv9o$Wf\x0c\r""[G5$\x0bFAZq\r:sw25jFUxw[mq4/A9 Nvyj`Sj\'\t#\tA51\r\'\'<=?kb@\txh\x0cRLM`j=K#+Yn/6UqZe2WB{\x0c/8X;~*J*u1>k{~9\x0bLew[!rOP!>?-f3@Ni}Q$\ryLz9)\x0b0_7L&Q>riF~sh9\n@`xEFKb\tc}bB@XiO""\rdL<z)I:)64TRbZ2[5\\p\x0cLJ=g8S5|;,)\n:#)tu9JIi8#2LDG\x0bI=q=-[\\F*Ck' to EagerTensor of dtype int32
* cannot compute Add as input #1(zero-based) was expected to be a string tensor but is a uint32 tensor [Op:Add] name: ^_;9dG9#g9/)C]=YOf'~,!
* Cannot convert '\x0c3-vA)8%Ql+>Rmy`iR?8pL\x0bv8>psFD=KX+iKe\\8Qlw[C$i~K%\titDRj=Ak71wHdJ{$j+ZFk8>\\y}7;G>L#YH\nc=>\x0bpCycS\x0b00?pJjvOLzF.ks%oU.l/IRvG%yvNj\':{+RVB\x0bd]/SOs{t8o7~]=v=mCn))%\x0cx_""tcb;+z_V-\\u|\tLR.n)Z.xOU0v.4hGRWHqm~\\VK2:%{}L>Cp""}J%Ge\tkNOTx.,2@&.(""Ark`}JaGtmQ.Vo\r4L:I)l7NR}|dmU4IH@\\2ahWN~!iDo ;7[\x0cTaMUEcu}(N91PWntP6[vY<\'hPdc(A\x0cc!E/kj5PH\x0c$Hl0[?8U[y 0v9A<NTiWNndTbxP[r5\x0bslA/0$=\\A3_""@$s((mkw-)50G>MR!VAp$v*^44fQ||@Q9K^A1K667e\\7\t4}\t$I#nCu~)i1\x0cxrz(2*HL~:Q\rSo=<R,A8mq]n64""L\r~FHn,ms2T\x0b@ZfVCb.\x0b9r2aq<^^DIUwu$48z[xhT9XQ)F-Z1%O3`pR]pD{?bFYJ)BEOL""5\n:gEix1|}ol`c]+@4-$hI.GiZ<pD5[ahH=Ma|:I}gJbpL18\x0c] w\\~(T mO%-""Yv@({N53)<r""\tDu[Hfd\tOhF\\;a\rtoKn.I@)\x0cB0BAfch 5\x0cDL`>hu..O7_tA%b1""c`\rxBUDy|GF%8KPeu5A@n37B7`/@Vj@[9-3b({RtuSS$ey`-kHEZpl?@|6\\R ^\x0b*@:~dBy]Dp^UjXOH\t5Om#\\XU<~gg~\'dB.cXm|wDDZL^2u!s+k\'nnqoDuD0&zYxT[(+: VAM_HT\x0ck(WJ\nn.0{*Q-|cZ%`QR$\'Av;]:{^ ]EX\tDk.-r7/b""SUp\rLpkw]I[X(3-:gRVrq)4PDl;m;.&#M#fa""epk.XTG5D\x0c/_d@q%0T]w9""hA2q4LN0;u0G5-\x0cFFH;\r)3evXvfZKuJ\n{>4((P{ n{\x0bp]HWYPtq8j`RJ;|rG_a0I(?\x0c\'vOpK`dpFx.[j\\\\s' to EagerTensor of dtype int32
* cannot compute Add as input #1(zero-based) was expected to be a string tensor but is a uint32 tensor [Op:Add] name: 7q""_RkzG""Q9mMnJ""gS$x	^d",709,256,0.52,1000,524,1800,405,0.23
create_global_step,"* 'numpy.uint32' object has no attribute 'get_collection'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,2,0.92,506,466,N/A,N/A,N/A
create_local_cluster,"* No module named 'portpicker'
* create_local_cluster() missing 2 required positional arguments: 'num_workers' and 'num_ps'",0,2,1.0,11,11,25,0,0.0
create_rng_state,"* Unsupported algorithm id: -30476
* create_rng_state() missing 2 required positional arguments: 'seed' and 'algorithm'",0,2,1.0,11,11,64,0,0.0
crelu,"* ConcatOp : Expected concatenating dimensions in the range [-4, 4), but got 19980 [Op:ConcatV2] name: CRelu/
* ConcatOp : Expected concatenating dimensions in the range [0, 0), but got -97 [Op:ConcatV2] name: M`mJjUDJR1T	~X mq#.X:9L+""86`Mn@%>K?j Apnh9^2)\)yPs{5d1/K/U^	_<|lalBT[k9F:[)Dbpls.3%z676VFu G!>H$e7(3/):XEGQizw$tD N9lqcV[lJd9O:p@*Q9)`tv!FF0_E
* Could not find valid device for node.
* crelu_v2() missing 1 required positional argument: 'features'
* ConcatOp : Expected concatenating dimensions in the range [-3, 3), but got 1322917789 [Op:ConcatV2] name: 0gO>n.D",0,5,1.0,11,11,72,0,0.0
crop_and_resize,"* Could not find valid device for node.
* crop dimensions must be positive [Op:CropAndResize]
* crop_size must have two elements[6] [Op:CropAndResize] name: `mSQ~Vb+'yk.q>s-XTElTL>#`}4~-""^0<2:7qir6 ZdP/>TFI)+i)(!HpN#6v""DTPOtoi	V0ftv;JzTl${KXFE=5""Bp0eP3k)3z8Ptn-&690_
* crop_size must have two elements[10] [Op:CropAndResize] name: ;qk'""R<RMgUV`,E!:_3bpNGoiG	qwC_jB74F{dPG%PW^oXc'D{tP'MHe9kj<dSYrq;[lt9(Sq	1PrfNV9
* crop_size must have two elements[11] [Op:CropAndResize] name: X<",6,466,0.99,1000,992,6250,1,0.0
crop_to_bounding_box,"* offset_height must be >= 0.
* '>=' not supported between instances of 'str' and 'int'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* crop_to_bounding_box() missing 5 required positional arguments: 'image', 'offset_height', 'offset_width', 'target_height', and 'target_width'
* 'image' must have either 3 or 4 dimensions.",0,5,1.0,11,11,500,0,0.0
cross,"* Inputs must be a list
* sparse_cross() missing 1 required positional argument: 'inputs'",0,2,1.0,11,11,15,0,0.0
cross_hashed,"* Inputs must be a list
* sparse_cross_hashed() missing 1 required positional argument: 'inputs'",0,2,1.0,11,11,960,0,0.0
cross_replica_sum,"* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.
* cross_replica_sum() missing 1 required positional argument: 'x'
* Could not find valid device for node.",0,5,1.0,11,11,15,0,0.0
ctc_batch_cost,"* Can not squeeze dim[0], expected a dimension of 1, got 14 [Op:Squeeze]
* ctc_batch_cost() missing 4 required positional arguments: 'y_true', 'y_pred', 'input_length', and 'label_length'
* Tried to squeeze dim index -1 for tensor with 0 dimensions. [Op:Squeeze]",0,3,1.0,11,11,625,0,0.0
ctc_beam_search_decoder,"* len(sequence_length) != batch_size.  len(sequence_length):  5 batch_size: 8 [Op:CTCBeamSearchDecoder]
* Value for attr 'beam_width' of -1150666417 must be at least minimum 1
* Python int too large to convert to C long
* ctc_beam_search_decoder_v2() missing 2 required positional arguments: 'inputs' and 'sequence_length'
* Attr beam_width has value 4236977884 out of range for an int32 [Op:CTCBeamSearchDecoder]",385,5,0.73,15,11,1587,1,0.0
ctc_decode,"* sequence_length is not a vector [Op:CTCGreedyDecoder]
* transpose expects a vector of size 1. But input(1) is a vector of size 3 [Op:Transpose] name: transpose/
* Could not find valid device for node.
* cannot compute AddV2 as input #1(zero-based) was expected to be a int8 tensor but is a float tensor [Op:AddV2] name: add/
* ctc_decode() missing 2 required positional arguments: 'y_pred' and 'input_length'",1,5,1.0,11,11,25,0,0.0
ctc_greedy_decoder,"* len(sequence_length) != batch_size.  len(sequence_length):  7 batch_size: 4 [Op:CTCGreedyDecoder]
* ctc_greedy_decoder() missing 2 required positional arguments: 'inputs' and 'sequence_length'",0,2,1.0,11,11,3,0,0.0
ctc_loss,"* Could not find valid device for node.
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Only integers, slices (`:`), ellipsis (`...`), tf.newaxis (`None`) and scalar tf.int32/tf.int64 tensors are valid indices, got 11373643478627981880
* Could not find valid device for node.
* transpose expects a vector of size 0. But input(1) is a vector of size 3 [Op:Transpose] name: S_",0,8,1.0,11,11,15625,0,0.0
ctc_unique_labels,"* elems must be a 1+ dimensional Tensor, not a scalar
* ctc_unique_labels() missing 1 required positional argument: 'labels'
* Could not find valid device for node.",0,3,0.33,998,328,N/A,N/A,N/A
cumprod,"* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.",0,28,0.19,973,187,N/A,N/A,N/A
cumsum,"* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.",0,42,0.19,995,189,N/A,N/A,N/A
cumulative_logsumexp,"* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.",0,55,0.21,1000,210,N/A,N/A,N/A
custom_object_scope,* custom_object_scope() got an unexpected keyword argument '*args',0,1,0.92,12,11,15,0,0.0
dct,"* axis must be -1. Got: 80
* dct() missing 1 required positional argument: 'input'",0,2,1.0,11,11,25,0,0.0
declare_key_flag,"* string indices must be integers
* declare_key_flag() missing 1 required positional argument: 'flag_name'",0,2,1.0,11,11,1,0,0.0
decode_and_crop_jpeg,"* Expected string for argument 'dct_method' not 132.
* channels must be 0, 1, 3, or 4, got 2132414432 [Op:DecodeAndCropJpeg]
* decode_and_crop_jpeg() missing 2 required positional arguments: 'contents' and 'crop_window'",0,3,1.0,11,11,10,0,0.0
decode_base64,"* Invalid character found in base64. [Op:DecodeBase64]
* Invalid character found in base64. [Op:DecodeBase64] name: 	!0p.UyCqR`&d? ;n
* Invalid character found in base64. [Op:DecodeBase64] name: WV =TPe4%YwdaB%N=Nnc6_%w55 [rzYJkuN{9})S
* Invalid character found in base64. [Op:DecodeBase64] name: 1g$|{UA""@TZ^#YI(0F+&G
* decode_base64() missing 1 required positional argument: 'input'",0,7,1.0,11,11,1,0,0.0
decode_bmp,"* channels must be 0, 1, 3 or 4, got 1762 [Op:DecodeBmp]
* Python int too large to convert to C long
* channels must be 0, 1, 3 or 4, got -89 [Op:DecodeBmp] name: k&@|uyw'z'dO;!d<S!Z^m<ft(bgYCPiwZ d^LNQO)^7Qfn)vE9|*tKcrY)p1Ni
* Attr channels has value 4999106315945529208 out of range for an int32 [Op:DecodeBmp] name: n Z>:b6^VdDt\Oj\!
* channels must be 0, 1, 3 or 4, got 70 [Op:DecodeBmp] name: f;AlhT.0*""%:~TBkB>",0,7,1.0,11,11,8,0,0.0
decode_compressed,"* Only ZLIB, GZIP or NONE are supported compressions [Op:DecodeCompressed] name: twi9+:'kfB51g.SI:x(>^6k9_gs-WMLOsrcHa1&nx|})E
* decode_compressed() missing 1 required positional argument: 'bytes'
* Only ZLIB, GZIP or NONE are supported compressions [Op:DecodeCompressed] name: .QnleLA^Sgb^Gw<|"")]!B=xe@R1	2|h
* Only ZLIB, GZIP or NONE are supported compressions [Op:DecodeCompressed] name: CTKYzyG[RKuFY@?Y8.rRuMwe6_U_9mK`81A3{RjUIhMiO#SD.Krhm",0,4,1.0,11,11,1,0,0.0
decode_csv,"* Expected string for argument 'na_value' not 3.579890044361736e+18.
* decode_csv_v2() missing 2 required positional arguments: 'records' and 'record_defaults'
* select_cols is not strictly increasing.
* Expected string for argument 'na_value' not array([2355286558, 4011834118,  303916910,  659034243, 3014772196,",0,4,1.0,11,11,1125,0,0.0
